Week,Plot ID,Treatment,Stressor_app,Replicate,Block,Light_level,Disturbance_level,Shoot_density,Leaf_surface_area,Avg_LSA,Total_invert_abundance,Crustacean_abundance
3,14,Control,0,4,4,100,none,80,3579.733333,44.74666667,9,9
3,15,OutPhase,3,4,4,50,high,8,123.7824,15.4728,2,2
3,16,InPhase,2,4,4,0,high,48,1024.302545,21.33963636,0,0
3,17,StaticStatic,1,5,5,25,high,76,3345.3756,44.0181,3,3
3,18,Control,0,5,5,100,none,152,8186.112,53.856,0,0
3,19,InPhase,2,5,5,0,high,88,3742.7544,42.5313,1,1
3,20,OutPhase,3,5,5,50,high,52,2114.184198,40.65738843,0,0
3,21,InPhase,2,6,6,0,high,88,3010.304,34.208,0,0
3,22,StaticStatic,1,6,6,25,high,52,1375.111111,26.44444447,0,0
3,23,Control,0,6,6,100,none,216,10272.6144,47.5584,1,1
3,24,OutPhase,3,6,6,50,high,80,2401.047273,30.01309088,0,0
4,1,StaticStatic,1,1,1,25,high,84,3820.3984,45.4809333,1,1
4,2,InPhase,2,1,1,0,high,96,3635.99808,37.87498,4,4
4,3,OutPhase,3,1,1,50,high,76,2835.88224,37.31424,0,0
4,4,Control,0,1,1,100,none,28,673.2992,24.0464,1,1
4,5,Control,0,2,2,100,none,148,6870.6336,46.4232,21,20
4,6,OutPhase,3,2,2,50,high,64,2417.7536,37.7774,5,5
4,7,StaticStatic,1,2,2,25,high,96,4072.32,42.42,38,38
4,8,InPhase,2,2,2,0,high,56,1652.436893,29.50780167,12,12
4,9,InPhase,2,3,3,0,high,76,3427.13184,45.09384,9,9
4,10,Control,0,3,3,100,none,136,5400.02144,39.70604,9,9
4,11,OutPhase,3,3,3,50,high,76,2245.38048,29.54448,21,21
4,12,StaticStatic,1,3,3,25,high,120,3048.771667,25.40643053,12,12
4,13,StaticStatic,1,4,4,25,high,52,1858.153388,35.73371899,2,2
4,14,Control,0,4,4,100,none,92,2599.83536,28.25908,2,1
4,15,OutPhase,3,4,4,50,high,4,69.62142149,17.40535536,7,7
4,16,InPhase,2,4,4,0,high,20,370.3752,18.51876,2,2
4,17,StaticStatic,1,5,5,25,high,56,1729.6384,30.8864,12,12
4,18,Control,0,5,5,100,none,156,4383.426667,28.09888891,1,1
4,19,InPhase,2,5,5,0,high,80,2426.1632,30.32704,1,1
4,20,OutPhase,3,5,5,50,high,56,1683.136,30.056,8,8
4,21,InPhase,2,6,6,0,high,76,3086.2992,40.6092,2,2
4,22,StaticStatic,1,6,6,25,high,64,2428.3648,37.9432,2,2
4,23,Control,0,6,6,100,none,212,9703.04496,45.76908,1,1
4,24,OutPhase,3,6,6,50,high,68,2051.2064,30.1648,0,0
5,1,StaticStatic,1,1,1,25,high,84,3885.17472,46.25208,0,0
5,2,InPhase,2,1,1,0,high,76,2814.631736,37.03462808,1,0
5,3,OutPhase,3,1,1,50,high,68,2269.14912,33.36984,0,0
5,4,Control,0,1,1,100,none,28,737.7216,26.3472,1,1
5,5,Control,0,2,2,100,none,152,5958.1872,39.1986,2,2
5,6,OutPhase,3,2,2,50,high,60,2884.992,48.0832,2,2
5,7,StaticStatic,1,2,2,25,high,96,4761.63072,49.60032,4,4
5,8,InPhase,2,2,2,0,high,48,2230.475107,46.46823143,6,6
5,9,InPhase,2,3,3,0,high,52,1974.455127,37.97029091,8,8
5,10,Control,0,3,3,100,none,120,6217.344,51.8112,2,2
5,11,OutPhase,3,3,3,50,high,76,2499.50016,32.88816,3,3
5,12,StaticStatic,1,3,3,25,high,108,5395.130182,49.95490905,3,3
5,13,StaticStatic,1,4,4,25,high,44,1738.487273,39.51107436,0,0
5,14,Control,0,4,4,100,none,84,2948.736,35.10400001,1,1
5,15,OutPhase,3,4,4,50,high,8,145.3473058,18.16841321,0,0
5,16,InPhase,2,4,4,0,high,4,73.656,18.414,1,1
5,17,StaticStatic,1,5,5,25,high,64,3001.809455,46.90327271,2,2
5,18,Control,0,5,5,100,none,148,6102.18504,41.23098,0,0
5,19,InPhase,2,5,5,0,high,68,2280.448,33.536,1,1
5,20,OutPhase,3,5,5,50,high,48,1325.22843,27.60892564,0,0
5,21,InPhase,2,6,6,0,high,72,1720.6272,23.8976,1,1
5,22,StaticStatic,1,6,6,25,high,68,1343.972231,19.76429754,0,0
5,23,Control,0,6,6,100,none,212,11960.58446,56.41785118,2,2
5,24,OutPhase,3,6,6,50,high,52,1152.66528,22.16664,2,2
6,1,StaticStatic,1,1,1,25,high,72,3532.2336,49.0588,0,0
6,2,InPhase,2,1,1,0,high,76,2956.419,38.90025,1,1
6,3,OutPhase,3,1,1,50,high,56,2007.917488,35.8556694,0,0
6,4,Control,0,1,1,100,none,32,818.7851524,25.58703602,1,1
6,5,Control,0,2,2,100,none,172,5143.453884,29.90380165,1,1
6,6,OutPhase,3,2,2,50,high,48,2101.82016,43.78792,0,0
6,7,StaticStatic,1,2,2,25,high,60,3525.21,58.75349999,4,4
6,8,InPhase,2,2,2,0,high,44,1696.98672,38.56788,2,2
6,9,InPhase,2,3,3,0,high,36,1164.431603,32.3453223,5,5
6,10,Control,0,3,3,100,none,144,6843.9168,47.5272,0,0
6,11,OutPhase,3,3,3,50,high,64,2227.2,34.8,4,4
6,12,StaticStatic,1,3,3,25,high,112,5455.912,48.7135,6,6
6,13,StaticStatic,1,4,4,25,high,40,1130.4,28.26,0,0
6,14,Control,0,4,4,100,none,80,2430.4,30.37999998,0,0
6,15,OutPhase,3,4,4,50,high,4,46.225,11.55625,0,0
6,16,InPhase,2,4,4,0,high,4,47.232,11.808,0,0
6,17,StaticStatic,1,5,5,25,high,60,2493.8496,41.56416,2,2
6,18,Control,0,5,5,100,none,148,5452.6752,36.8424,0,0
6,19,InPhase,2,5,5,0,high,60,2452.700826,40.87834708,0,0
6,20,OutPhase,3,5,5,50,high,44,1699.573333,38.62666667,0,0
6,21,InPhase,2,6,6,0,high,56,1485.85472,26.53312,0,0
6,22,StaticStatic,1,6,6,25,high,44,1376.232,31.278,0,0
6,23,Control,0,6,6,100,none,216,10921.75056,50.56366,0,0
6,24,OutPhase,3,6,6,50,high,44,1575.077778,35.7972222,0,0
