Week,Plot ID,Treatment,Stressor_app,Replicate,Block,Light_level,Disturbance_level,Shoot_density,Day0_density,Leaf_surface_area,Day0_surface_area,Avg_LSA,Day0_Avg_LSA,Total_invert_abundance,Day0_invert,Crustacean_abundance,Day0_crustacean
3,10,Control,0,3,3,100,none,112,96,5463.696,4546.7136,48.783,47.3616,15,7,15,7
3,11,OutPhase,3,3,3,50,high,84,160,2940.69384,9341.568,35.00826,58.3848,11,18,11,18
3,12,StaticStatic,1,3,3,25,high,116,132,6177.1392,5069.26992,53.2512,38.40356,8,3,8,3
3,13,StaticStatic,1,4,4,25,high,64,96,2916.238222,4994.154667,45.56622218,52.02244448,5,4,5,4
3,14,Control,0,4,4,100,none,80,56,3579.733333,2438.00368,44.74666667,43.53578,9,6,9,5
3,15,OutPhase,3,4,4,50,high,8,40,123.7824,1129.44,15.4728,28.236,2,2,2,2
3,16,InPhase,2,4,4,0,high,48,60,1024.302545,1928.307692,21.33963636,32.13846157,0,3,0,3
3,17,StaticStatic,1,5,5,25,high,76,72,3345.3756,2747.278125,44.0181,38.15664063,3,1,3,1
3,18,Control,0,5,5,100,none,152,132,8186.112,7796.448,53.856,59.064,0,2,0,2
3,19,InPhase,2,5,5,0,high,88,108,3742.7544,3960.330604,42.5313,36.66972784,1,3,1,3
3,20,OutPhase,3,5,5,50,high,52,68,2114.184198,1508.414163,40.65738843,22.18256124,0,3,0,3
3,21,InPhase,2,6,6,0,high,88,128,3010.304,4864.47104,34.208,38.00368,0,1,0,1
3,22,StaticStatic,1,6,6,25,high,52,84,1375.111111,1982.1312,26.44444447,23.5968,0,1,0,0
3,23,Control,0,6,6,100,none,216,176,10272.6144,9550.66464,47.5584,54.26514,1,1,1,1
3,24,OutPhase,3,6,6,50,high,80,76,2401.047273,2169.40784,30.01309088,28.54484,0,1,0,1
4,1,StaticStatic,1,1,1,25,high,84,100,3820.3984,3449.425,45.4809333,34.49424997,1,3,1,3
4,2,InPhase,2,1,1,0,high,96,152,3635.99808,5646.357818,37.87498,37.14709089,4,2,4,2
4,3,OutPhase,3,1,1,50,high,76,88,2835.88224,3369.408,37.31424,38.28872727,0,2,0,2
4,4,Control,0,1,1,100,none,28,28,673.2992,624.96,24.0464,22.32,1,2,1,2
4,5,Control,0,2,2,100,none,148,176,6870.6336,8144.37888,46.4232,46.27488,21,4,20,4
4,6,OutPhase,3,2,2,50,high,64,120,2417.7536,9795.4272,37.7774,81.62856,5,31,5,31
4,7,StaticStatic,1,2,2,25,high,96,184,4072.32,10469.75207,42.42,56.9008265,38,15,38,15
4,8,InPhase,2,2,2,0,high,56,116,1652.436893,7314.16192,29.50780167,63.05312,12,19,12,19
4,9,InPhase,2,3,3,0,high,76,100,3427.13184,5389.208,45.09384,53.89208,9,21,9,21
4,10,Control,0,3,3,100,none,136,96,5400.02144,4546.7136,39.70604,47.3616,9,7,9,7
4,11,OutPhase,3,3,3,50,high,76,160,2245.38048,9341.568,29.54448,58.3848,21,18,21,18
4,12,StaticStatic,1,3,3,25,high,120,132,3048.771667,5069.26992,25.40643053,38.40356,12,3,12,3
4,13,StaticStatic,1,4,4,25,high,52,96,1858.153388,4994.154667,35.73371899,52.02244448,2,4,2,4
4,14,Control,0,4,4,100,none,92,56,2599.83536,2438.00368,28.25908,43.53578,2,6,1,5
4,15,OutPhase,3,4,4,50,high,4,40,69.62142149,1129.44,17.40535536,28.236,7,2,7,2
4,16,InPhase,2,4,4,0,high,20,60,370.3752,1928.307692,18.51876,32.13846157,2,3,2,3
4,17,StaticStatic,1,5,5,25,high,56,72,1729.6384,2747.278125,30.8864,38.15664063,12,1,12,1
4,18,Control,0,5,5,100,none,156,132,4383.426667,7796.448,28.09888891,59.064,1,2,1,2
4,19,InPhase,2,5,5,0,high,80,108,2426.1632,3960.330604,30.32704,36.66972784,1,3,1,3
